Division,Place,Season,Crop,Variety
Udupi,Saligrama,Rabi,Groundnut,DH 3-30
Udupi,Moodubelle,Rabi,Groundnut,DH 3-30
Udupi,Shirva,Rabi,Groundnut,DH 3-30
Udupi,Cherkady,Rabi,Groundnut,DH 3-30
Udupi,Perdoor,Rabi,Groundnut,DH 3-30
Udupi,Hiriyadka,Rabi,Groundnut,DH 3-30
Udupi,Hanjady,Rabi,Groundnut,DH 3-30
Udupi,Badagabettu,Rabi,Groundnut,DH 3-30
Udupi,Alevor,Rabi,Groundnut,DH 3-30
Udupi,Mooduthonse,Rabi,Groundnut,DH 3-30
Udupi,Udyavara,Rabi,Groundnut,DH 3-30
Udupi,Yenagudde,Rabi,Groundnut,DH 3-30
Udupi,Puttur,Rabi,Groundnut,DH 3-30
Udupi,Kudi,Rabi,Groundnut,DH 3-30
Udupi,Kurkalu,Rabi,Groundnut,DH 3-30
Udupi,Yerlapady,Rabi,Groundnut,DH 3-30
Udupi,Ninjoor,Rabi,Groundnut,DH 3-30
Udupi,Mallar,Rabi,Groundnut,DH 3-30
Udupi,Padubidri,Rabi,Groundnut,DH 3-30
Udupi,Hejamadi,Rabi,Groundnut,DH 3-30
Udupi,Bada,Rabi,Groundnut,DH 3-30
Udupi,Tenka Hanjady,Rabi,Groundnut,DH 3-30
Udupi,Shiriyara,Rabi,Groundnut,DH 3-30
Udupi,Kidiyur,Rabi,Groundnut,DH 3-30
Udupi,Kallianpur,Rabi,Groundnut,DH 3-30
Udupi,Herga,Rabi,Groundnut,DH 3-30
Udupi,Udupi,Rabi,Groundnut,DH-40
Udupi,Manipal,Rabi,Groundnut,DH-40
Udupi,Korangrapady,Rabi,Groundnut,DH-40
Udupi,Tonse East,Rabi,Groundnut,DH-40
Udupi,Tenkanidyoor,Rabi,Groundnut,DH-40
Udupi,Varamballi,Rabi,Groundnut,DH-40
Udupi,Saligrama,Rabi,Groundnut,DH-40
Udupi,Moodubelle,Rabi,Groundnut,DH-40
Udupi,Shirva,Rabi,Groundnut,DH-40
Udupi,Cherkady,Rabi,Groundnut,DH-40
Udupi,Perdoor,Rabi,Groundnut,DH-40
Udupi,Hiriyadka,Rabi,Groundnut,DH-40
Udupi,Hanjady,Rabi,Groundnut,DH-40
Udupi,Badagabettu,Rabi,Groundnut,DH-40
Udupi,Alevor,Rabi,Groundnut,DH-40
Udupi,Mooduthonse,Rabi,Groundnut,DH-40
Udupi,Udyavara,Rabi,Groundnut,DH-40
Udupi,Yenagudde,Rabi,Groundnut,DH-40
Udupi,Puttur,Rabi,Groundnut,DH-40
Udupi,Kudi,Rabi,Groundnut,DH-40
Udupi,Kurkalu,Rabi,Groundnut,DH-40
Udupi,Yerlapady,Rabi,Groundnut,DH-40
Udupi,Ninjoor,Rabi,Groundnut,DH-40
Udupi,Mallar,Rabi,Groundnut,DH-40
Udupi,Padubidri,Rabi,Groundnut,DH-40
Udupi,Hejamadi,Rabi,Groundnut,DH-40
Udupi,Bada,Rabi,Groundnut,DH-40
Udupi,Tenka Hanjady,Rabi,Groundnut,DH-40
Udupi,Shiriyara,Rabi,Groundnut,DH-40
Udupi,Kidiyur,Rabi,Groundnut,DH-40
Udupi,Kallianpur,Rabi,Groundnut,DH-40
Udupi,Herga,Rabi,Groundnut,DH-40
Udupi,Udupi,Rabi,Black gram,LBG-17
Udupi,Manipal,Rabi,Black gram,LBG-17
Udupi,Korangrapady,Rabi,Black gram,LBG-17
Udupi,Tonse East,Rabi,Black gram,LBG-17
Udupi,Tenkanidyoor,Rabi,Black gram,LBG-17
Udupi,Varamballi,Rabi,Black gram,LBG-17
Udupi,Saligrama,Rabi,Black gram,LBG-17
Udupi,Moodubelle,Rabi,Black gram,LBG-17
Udupi,Shirva,Rabi,Black gram,LBG-17
Udupi,Cherkady,Rabi,Black gram,LBG-17
Udupi,Perdoor,Rabi,Black gram,LBG-17
Udupi,Hiriyadka,Rabi,Black gram,LBG-17
Udupi,Hanjady,Rabi,Black gram,LBG-17
Udupi,Badagabettu,Rabi,Black gram,LBG-17
Udupi,Alevor,Rabi,Black gram,LBG-17
Udupi,Mooduthonse,Rabi,Black gram,LBG-17
Udupi,Udyavara,Rabi,Black gram,LBG-17
Udupi,Yenagudde,Rabi,Black gram,LBG-17
Udupi,Puttur,Rabi,Black gram,LBG-17
Udupi,Kudi,Rabi,Black gram,LBG-17
Udupi,Kurkalu,Rabi,Black gram,LBG-17
Udupi,Yerlapady,Rabi,Black gram,LBG-17
Udupi,Ninjoor,Rabi,Black gram,LBG-17
Udupi,Mallar,Rabi,Black gram,LBG-17
Udupi,Padubidri,Rabi,Black gram,LBG-17
Udupi,Hejamadi,Rabi,Black gram,LBG-17
Udupi,Bada,Rabi,Black gram,LBG-17
Udupi,Tenka Hanjady,Rabi,Black gram,LBG-17
Udupi,Shiriyara,Rabi,Black gram,LBG-17
Udupi,Kidiyur,Rabi,Black gram,LBG-17
Udupi,Kallianpur,Rabi,Black gram,LBG-17
Udupi,Herga,Rabi,Black gram,LBG-17
Udupi,Udupi,Rabi,Green gram,Pusa Vishal
Udupi,Manipal,Rabi,Green gram,Pusa Vishal
Udupi,Korangrapady,Rabi,Green gram,Pusa Vishal
Udupi,Tonse East,Rabi,Green gram,Pusa Vishal
Udupi,Tenkanidyoor,Rabi,Green gram,Pusa Vishal
Udupi,Varamballi,Rabi,Green gram,Pusa Vishal
Udupi,Saligrama,Rabi,Green gram,Pusa Vishal
Udupi,Moodubelle,Rabi,Green gram,Pusa Vishal
Udupi,Shirva,Rabi,Green gram,Pusa Vishal
Udupi,Cherkady,Rabi,Green gram,Pusa Vishal
Udupi,Perdoor,Rabi,Green gram,Pusa Vishal
Udupi,Hiriyadka,Rabi,Green gram,Pusa Vishal
Udupi,Hanjady,Rabi,Green gram,Pusa Vishal
Udupi,Badagabettu,Rabi,Green gram,Pusa Vishal
Udupi,Alevor,Rabi,Green gram,Pusa Vishal
Udupi,Mooduthonse,Rabi,Green gram,Pusa Vishal
Udupi,Udyavara,Rabi,Green gram,Pusa Vishal
Udupi,Yenagudde,Rabi,Green gram,Pusa Vishal
Udupi,Puttur,Rabi,Green gram,Pusa Vishal
Udupi,Kudi,Rabi,Green gram,Pusa Vishal
Udupi,Kurkalu,Rabi,Green gram,Pusa Vishal
Udupi,Yerlapady,Rabi,Green gram,Pusa Vishal
Udupi,Ninjoor,Rabi,Green gram,Pusa Vishal
Udupi,Mallar,Rabi,Green gram,Pusa Vishal
Udupi,Padubidri,Rabi,Green gram,Pusa Vishal
Udupi,Hejamadi,Rabi,Green gram,Pusa Vishal
Udupi,Bada,Rabi,Green gram,Pusa Vishal
Udupi,Tenka Hanjady,Rabi,Green gram,Pusa Vishal
Udupi,Shiriyara,Rabi,Green gram,Pusa Vishal
Udupi,Kidiyur,Rabi,Green gram,Pusa Vishal
Udupi,Kallianpur,Rabi,Green gram,Pusa Vishal
Udupi,Herga,Rabi,Green gram,Pusa Vishal
Udupi,Udupi,Rabi,Cowpea,DC-15
Udupi,Manipal,Rabi,Cowpea,DC-15
Udupi,Korangrapady,Rabi,Cowpea,DC-15
Udupi,Tonse East,Rabi,Cowpea,DC-15
Udupi,Tenkanidyoor,Rabi,Cowpea,DC-15
Udupi,Varamballi,Rabi,Cowpea,DC-15
Udupi,Saligrama,Rabi,Cowpea,DC-15
Udupi,Moodubelle,Rabi,Cowpea,DC-15
Udupi,Shirva,Rabi,Cowpea,DC-15
Udupi,Cherkady,Rabi,Cowpea,DC-15
Udupi,Perdoor,Rabi,Cowpea,DC-15
Udupi,Hiriyadka,Rabi,Cowpea,DC-15
Udupi,Hanjady,Rabi,Cowpea,DC-15
Udupi,Badagabettu,Rabi,Cowpea,DC-15
Udupi,Alevor,Rabi,Cowpea,DC-15
Udupi,Mooduthonse,Rabi,Cowpea,DC-15
Udupi,Udyavara,Rabi,Cowpea,DC-15
Udupi,Yenagudde,Rabi,Cowpea,DC-15
Udupi,Puttur,Rabi,Cowpea,DC-15
Udupi,Kudi,Rabi,Cowpea,DC-15
Udupi,Kurkalu,Rabi,Cowpea,DC-15
Udupi,Yerlapady,Rabi,Cowpea,DC-15
Udupi,Ninjoor,Rabi,Cowpea,DC-15
Udupi,Mallar,Rabi,Cowpea,DC-15
Udupi,Padubidri,Rabi,Cowpea,DC-15
Udupi,Hejamadi,Rabi,Cowpea,DC-15
Udupi,Bada,Rabi,Cowpea,DC-15
Udupi,Tenka Hanjady,Rabi,Cowpea,DC-15
Udupi,Shiriyara,Rabi,Cowpea,DC-15
Udupi,Kidiyur,Rabi,Cowpea,DC-15
Udupi,Kallianpur,Rabi,Cowpea,DC-15
Udupi,Herga,Rabi,Cowpea,DC-15
Udupi,Udupi,Rabi,Sesame,DS-1
Udupi,Manipal,Rabi,Sesame,DS-1
Udupi,Korangrapady,Rabi,Sesame,DS-1
Udupi,Tonse East,Rabi,Sesame,DS-1
Udupi,Tenkanidyoor,Rabi,Sesame,DS-1
Udupi,Varamballi,Rabi,Sesame,DS-1
Udupi,Saligrama,Rabi,Sesame,DS-1
Udupi,Moodubelle,Rabi,Sesame,DS-1
Udupi,Shirva,Rabi,Sesame,DS-1
Udupi,Cherkady,Rabi,Sesame,DS-1
Udupi,Perdoor,Rabi,Sesame,DS-1
Udupi,Hiriyadka,Rabi,Sesame,DS-1
Udupi,Hanjady,Rabi,Sesame,DS-1
Udupi,Badagabettu,Rabi,Sesame,DS-1
Udupi,Alevor,Rabi,Sesame,DS-1
Udupi,Mooduthonse,Rabi,Sesame,DS-1
Udupi,Udyavara,Rabi,Sesame,DS-1
Udupi,Yenagudde,Rabi,Sesame,DS-1
Udupi,Puttur,Rabi,Sesame,DS-1
Udupi,Kudi,Rabi,Sesame,DS-1
Udupi,Kurkalu,Rabi,Sesame,DS-1
Udupi,Yerlapady,Rabi,Sesame,DS-1
Udupi,Ninjoor,Rabi,Sesame,DS-1
Udupi,Mallar,Rabi,Sesame,DS-1
Udupi,Padubidri,Rabi,Sesame,DS-1
Udupi,Hejamadi,Rabi,Sesame,DS-1
Udupi,Bada,Rabi,Sesame,DS-1
Udupi,Tenka Hanjady,Rabi,Sesame,DS-1
Udupi,Shiriyara,Rabi,Sesame,DS-1
Udupi,Kidiyur,Rabi,Sesame,DS-1
Udupi,Kallianpur,Rabi,Sesame,DS-1
Udupi,Herga,Rabi,Sesame,DS-1
Udupi,Udupi,Summer,Paddy,Early-summer
Udupi,Manipal,Summer,Paddy,Early-summer
Udupi,Korangrapady,Summer,Paddy,Early-summer
Udupi,Tonse East,Summer,Paddy,Early-summer
Udupi,Tenkanidyoor,Summer,Paddy,Early-summer
Udupi,Varamballi,Summer,Paddy,Early-summer
Udupi,Saligrama,Summer,Paddy,Early-summer
Udupi,Moodubelle,Summer,Paddy,Early-summer
Udupi,Shirva,Summer,Paddy,Early-summer
Udupi,Cherkady,Summer,Paddy,Early-summer
