Division,Season,Crop,Variety,pH,Soil Type
Brahmavara,Rabi,Groundnut,TMV-2,4.00–6.98,Lateritic
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Rabi,Groundnut,TMV-2,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Groundnut,TMV-2,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Groundnut,TMV-2,4.08–5.86,Coastal Alluvium
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,TMV-2,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Groundnut,DH 3-30,4.00–6.98,Lateritic
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Groundnut,DH 3-30,4.00–6.98,Lateritic
Brahmavara,Rabi,Groundnut,DH 3-30,4.00–6.98,Lateritic
Kapu,Rabi,Groundnut,DH 3-30,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Groundnut,DH 3-30,4.08–5.86,Coastal Alluvium
Brahmavara,Rabi,Groundnut,DH 3-30,4.00–6.98,Lateritic
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Rabi,Groundnut,DH 3-30,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Groundnut,DH 3-30,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Groundnut,DH 3-30,4.08–5.86,Coastal Alluvium
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH 3-30,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Groundnut,DH-40,4.00–6.98,Lateritic
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Groundnut,DH-40,4.00–6.98,Lateritic
Brahmavara,Rabi,Groundnut,DH-40,4.00–6.98,Lateritic
Kapu,Rabi,Groundnut,DH-40,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Groundnut,DH-40,4.08–5.86,Coastal Alluvium
Brahmavara,Rabi,Groundnut,DH-40,4.00–6.98,Lateritic
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Kapu,Rabi,Groundnut,DH-40,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Groundnut,DH-40,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Groundnut,DH-40,4.08–5.86,Coastal Alluvium
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Groundnut,DH-40,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Black gram,LBG-17,4.00–6.98,Lateritic
Udupi,Rabi,Black gram,LBG-17,4.01–6.85,Coastal Alluvium & Laterite
Brahmavara,Rabi,Black gram,LBG-17,4.00–6.98,Lateritic
Brahmavara,Rabi,Black gram,LBG-17,4.00–6.98,Lateritic
Kapu,Rabi,Black gram,LBG-17,4.08–5.86,Coastal Alluvium
Kapu,Rabi,Black gram,LBG-17,4.08–5.86,Coastal Alluvium
Brahmavara,Rabi,Black gram,LBG-17,4.00–6.98,Lateritic
